uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
Geissler_Subaru_1162_C1_Eastern_Overall_NPS,,Geissler Subaru_1162,Geissler Subaru_1162,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,83.4,75,62.5,75.9,25,50,100,0,62.5,58.4,62.5,75,75,62.5,58.4,62.5,62.5,87.5,-25
Rolfe_Subaru_1139_A_Eastern_Overall_NPS,,Rolfe Subaru_1139,Rolfe Subaru_1139,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,40,60.8,75,60.9,84.2,78,49.4,70.9,80,75,64.3,68.2,65,63.2,67.5,77.5,80,62.5,74.2
Regal_Subaru_1108_A_Eastern_Overall_NPS,,Regal Subaru_1108,Regal Subaru_1108,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,76.6,62.5,72.5,71.9,70,80,77.5,65.9,72.5,81.4,75,77.5,60,72.5,66.7,74.8,73.2,72.2,70.7
Orange_Subaru_1164_B2_Eastern_Overall_NPS,,Orange Subaru_1164,Orange Subaru_1164,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,92.9,61.9,50,34,61.9,61.9,50,78.6,78.6,78.6,64.3,21.4,75.7,42.9,50,47.2,83.4,28.6,28.6,28.6
Capital_Subaru_1261_A_Eastern_Overall_NPS,,Capital Subaru_1261,Capital Subaru_1261,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,65,56.9,63.9,67.4,75,68.3,66,62.3,60.3,70,55,77.5,74.2,81.7,66.9,67.5,61.4,69.2,68.8
Sainsbury_Automotive_1122_B2_Eastern_Overall_NPS,,Sainsbury Automotive_1122,Sainsbury Automotive_1122,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,71.4,72.9,64.3,66.1,66.5,51.2,78.6,75,50,53.6,48.8,85.7,78.6,35.7,71.4,64.3,50,41.5,66.1,71.5
Bathurst_Subaru_1188_B2_Eastern_Overall_NPS,,Bathurst Subaru_1188,Bathurst Subaru_1188,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,47.6,78.6,64.3,50,61,83.4,92.9,71.4,48.2,48.2,71.4,71.4,59.5,75.7,58.9,78.6,100,57.1,54.8,63.1
Subaru_New_England_1196_C1_Eastern_Overall_NPS,,Subaru New England_1196,Subaru New England_1196,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,0,0,0,0,50,50,100,16.7,0,50,50,0,25,0,50,33.4,0,16.7,0
Cowra_Subaru_1176_C1_Eastern_Overall_NPS,,Cowra Subaru_1176,Cowra Subaru_1176,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,0,0,0,33.4,75,83.4,0,100,50,75,50,75,66.7,25,75,70.9,50,100,66.7
Orange_Subaru_1168_B2_Eastern_Overall_NPS,,Orange Subaru_1168,Orange Subaru_1168,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9
Dom's_Motors_1646_C2_Eastern_Overall_NPS,,Dom's Motors_1646,Dom's Motors_1646,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,16.7,66.7,58.4,63.4,33.4,33.4,0,33.4,33.4,50,100,100,50,83.4,66.7,83.4,83.4,83.4,66.7
McCarroll_Motors_1200_C2_Eastern_Overall_NPS,,McCarroll Motors_1200,McCarroll Motors_1200,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,66.7,83.4,16.7,66.7,33.4,58.4,16.7,83.4,50,66.7,33.4,50,66.7,75,100,50,50,50,100
Clarence_Coast_Subaru_1144_C2_Eastern_Overall_NPS,,Clarence Coast Subaru_1144,Clarence Coast Subaru_1144,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,33.4,33.4,83.4,72.3,33.4,83.4,33.4,50,100,33.4,33.4,41.7,58.4,33.4,83.4,66.7,66.7,33.4,75
Peel_Valley_Motors_1256_B2_Eastern_Overall_NPS,,Peel Valley Motors_1256,Peel Valley Motors_1256,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,75.7,69.1,21.4,45.2,51.4,75.7,54.8,45.2,15.8,71.4,87.5,67.9,100,100,52.4,82.9,92.9,45.7,57.2,75
Crossroads_Subaru_1252_A_Eastern_Overall_NPS,,Crossroads Subaru_1252,Crossroads Subaru_1252,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,69.7
Geoff_King_Subaru_1137_B2_Eastern_Overall_NPS,,Geoff King Subaru_1137,Geoff King Subaru_1137,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,85.7,28.6,30,71.4,58.7,57.2,64.3,50,78.6,40,57.2,48.2,42.9,90,90,55,63.1,81.3,76.9,80.8
High_Country_Subaru_1189_C1_Eastern_Overall_NPS,,High Country Subaru_1189,High Country Subaru_1189,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,75,75,100,79,87.5,75,87.5,50,66.7,50,75,87.5,50,100,75,75,87.5,62.5,75
Bega_Valley_Motors_1185_B2_Eastern_Overall_NPS,,Bega Valley Motors_1185,Bega Valley Motors_1185,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,50,64.3,78.6,64.3,65.2,78.6,70.2,78.6,67.9,71.4,17.9,0,66.1,61.4,69.1,51.8,76.2,85.7,78.6,73.2
Hill_Fitzsimmons_1170_C2_Eastern_Overall_NPS,,Hill Fitzsimmons_1170,Hill Fitzsimmons_1170,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,41.7,41.7,100,63,50,33.4,50,50,50,33.4,37.5,100,16.7,50,37.5,100,0,16.7,41.7
Carlin_&_Gazzard_3360_C1_Western_Overall_NPS,,Carlin & Gazzard_3360,Carlin & Gazzard_3360,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,0,80.4,71.4,71.4,73.6,78.6,60.7,85.7,71.4,85.7,73.2,85.7,71.4,85.7,73.2,61.9,61.9,61.9,61.9,61.9
Mike_Raleigh_Motors_3326_C2_Western_Overall_NPS,,Mike Raleigh Motors_3326,Mike Raleigh Motors_3326,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,0,75,66.7,0,79.2,100,50,50,25,50,83.4,100,100,50,50,100,100,100,100,100
Subaru_Wangara_4448_A_Western_Overall_NPS,,Subaru Wangara_4448,Subaru Wangara_4448,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,0,55,40,61.1,56.2,80,62.5,72.5,84.8,55,82.5,65.8,62.5,59,91.6,70,80,72.5,67.5,80
Peel_Subaru_4440_B2_Western_Overall_NPS,,Peel Subaru_4440,Peel Subaru_4440,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,71.4,82.9,63.1,83.4,76.8,85.7,64.3,78.6,78.6,78.6,54.3,57.1,92.9,85.7,92.9,71.4,78.6,92.9,92.9,92.9
Melville_Subaru_4446_A_Western_Overall_NPS,,Melville Subaru_4446,Melville Subaru_4446,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,0,75.6,70,90,77.1,87.5,72.5,65,80,70.3,70,75.9,62.5,30,78.2,45,64.6,64.6,64.6,64.6
Subaru_Osborne_Park_4447_A_Western_Overall_NPS,,Subaru Osborne Park_4447,Subaru Osborne Park_4447,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,0,58.4,62.5,45,61.5,72.5,79.7,51.1,58.4,65,65,54.8,70,64.1,68.1,66.8,75,80,75,71.7
Bunbury_Subaru_4438_B2_Western_Overall_NPS,,Bunbury Subaru_4438,Bunbury Subaru_4438,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,54.8,85.7,78.6,85.7,77.6,78.6,92.9,42.9,92.9,85.7,71.4,71.4,92.9,92.9,50,72.3,78.6,85.7,92.9,91.7
Murray_Bridge_Subaru_3346_B2_Western_Overall_NPS,,Murray Bridge Subaru_3346,Murray Bridge Subaru_3346,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,25,85.7,91.7,67.9,66.6,53.6,68.6,64.3,28.6,85.7,60.7,28.6,46.4,78.6,45.2,64.3,64.3,64.3,64.3,64.3
Eblen's_at_Kingswood_3356_C2_Western_Overall_NPS,,Eblen's at Kingswood_3356,Eblen's at Kingswood_3356,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,0,37.5,27.5,57.1,67.3,55,75,65,65,85,55,60,75,85,70,80,80,80,80,80
Victor_Harbor_Subaru_3347_C2_Western_Overall_NPS,,Victor Harbor Subaru_3347,Victor Harbor Subaru_3347,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,0,42.9,61.9,92.9,65.6,42.9,35.7,85.7,42.9,35.7,60.7,28.6,21.4,21.5,87.5,66.7,66.7,66.7,66.7,66.7
Peel_Subaru_4440_B1_Western_Overall_NPS,,Peel Subaru_4440,Peel Subaru_4440,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6,76.3
City_Subaru_4445_A_Western_Overall_NPS,,City Subaru_4445,City Subaru_4445,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,0,92.5,80,66.2,71.6,67.5,52.5,82.4,64.3,54.5,75,73.7,66.4,62.5,63.3,67.5,69.5,67.5,67.5,50.3
Albany_Subaru_4427_C1_Western_Overall_NPS,,Albany Subaru_4427,Albany Subaru_4427,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,0,41.7,62.5,33.4,60,62.5,25,70.9,75,83.4,87.5,87.5,87.5,75,100,-50,100,0,50,50
Jarvis_Barossa_3351_C1_Western_Overall_NPS,,Jarvis Barossa_3351,Jarvis Barossa_3351,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,0,0,0,0,0,0,0,0,0,45,67.5,75,87.5,75,50,37.5,37.5,37.5,37.5,37.5
Eblen_Subaru_3333_A_Western_Overall_NPS,,Eblen Subaru_3333,Eblen Subaru_3333,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,0,87.1,70,57.5,70.1,75,75,65,55,45,37.5,47.5,65,52.5,68.1,75,75,75,75,75
Jarvis_Subaru_3329_A_Western_Overall_NPS,,Jarvis Subaru_3329,Jarvis Subaru_3329,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,0,57.5,70,60,58.2,71.8,52.5,41.5,45.5,47.2,52.9,70.6,75.7,60,67.1,66.9,66.9,66.9,66.9,66.9
Jarvis_Assured_3345_A_Western_Overall_NPS,,Jarvis Assured_3345,Jarvis Assured_3345,Client Data:Subaru Dealers:NPS:Overall:Western,0.5,0,27.5,75,60,54,45,60,40,60,40,55,55,70,35,45,25,25,25,25,25
Jackson_Subaru_34_B1_Tasmania_Overall_NPS,,Jackson Subaru_34,Jackson Subaru_34,Client Data:Subaru Dealers:NPS:Overall:Tasmania,0.5,75,45,41.7,80,59.4,55,77.5,75,80,45,75,85,80,85,-5,58.4,85,80,80,95
Jackson_Subaru_37_C1_Tasmania_Overall_NPS,,Jackson Subaru_37,Jackson Subaru_37,Client Data:Subaru Dealers:NPS:Overall:Tasmania,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neil_Buckby_Motors_66_A_Tasmania_Overall_NPS,,Neil Buckby Motors_66,Neil Buckby Motors_66,Client Data:Subaru Dealers:NPS:Overall:Tasmania,0.5,0,65,46.7,60,58.6,70,70,67.5,81.2,72.5,81.7,64.3,84.9,70,62.5,82,69.6,70,79.8,74.6
Performance_Subaru_93_A_Tasmania_Overall_NPS,,Performance Subaru_93,Performance Subaru_93,Client Data:Subaru Dealers:NPS:Overall:Tasmania,0.5,0,56.7,77.5,81.5,66.5,62.5,77.9,70,55,63.8,72.4,76.7,74.2,71.9,80.4,65,79.6,58.3,62.5,82.1
Jackson_Subaru_0034a_B1_Tasmania_Overall_NPS,,Jackson Subaru_0034a,Jackson Subaru_0034a,Client Data:Subaru Dealers:NPS:Overall:Tasmania,0.5,50,50,37.5,62.5,61.1,50,0,55.6,20,66.7,33.3,20,66.7,66.7,30,40,20,50,42.9,57.1
