uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,
Subaru_Impreza_Adelaide_Radio_SAFM_Metropolitan_Radio,,Adelaide Radio SAFM,Adelaide Radio SAFM,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_R-Retail_Adelaide_Television_7Mate_ADE_Metropolitan_Television,,RRetail Adelaide Television 7Mate ADE,RRetail Adelaide Television 7Mate ADE,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_2.0i-Retail_Adelaide_Radio_5MMM_Metropolitan_Radio,,2.0iRetail Adelaide Radio 5MMM,2.0iRetail Adelaide Radio 5MMM,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Subaru_Impreza_R-Retail_Adelaide_Television_GO_ADE_Metropolitan_Television,,RRetail Adelaide Television GO ADE,RRetail Adelaide Television GO ADE,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza-Retail_Adelaide_Television_NWS9_Metropolitan_Television,,Retail Adelaide Television NWS9,Retail Adelaide Television NWS9,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Subaru_Impreza_R-Retail_Adelaide_Television_GEM_ADE_Metropolitan_Television,,RRetail Adelaide Television GEM ADE,RRetail Adelaide Television GEM ADE,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Adelaide_Television_Eleven_ADE_Metropolitan_Television,,Adelaide Television Eleven ADE,Adelaide Television Eleven ADE,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_R-Retail_Adelaide_Television_NWS9_Metropolitan_Television,,RRetail Adelaide Television NWS9,RRetail Adelaide Television NWS9,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Outback-Retail_Adelaide_Press_Advertiser_Metropolitan_Press,,OutbackRetail Adelaide Press Advertiser,OutbackRetail Adelaide Press Advertiser,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Press,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_R-Retail_Adelaide_Television_7TWO_ADE_Metropolitan_Television,,RRetail Adelaide Television 7TWO ADE,RRetail Adelaide Television 7TWO ADE,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Adelaide_Television_7TWO_ADE_Metropolitan_Television,,Adelaide Television 7TWO ADE,Adelaide Television 7TWO ADE,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_R-Retail_Adelaide_Television_ADS10_Metropolitan_Television,,RRetail Adelaide Television ADS10,RRetail Adelaide Television ADS10,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Adelaide_Television_7Mate_ADE_Metropolitan_Television,,Adelaide Television 7Mate ADE,Adelaide Television 7Mate ADE,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza-Retail_Adelaide_Radio_SAFM_Metropolitan_Radio,,Retail Adelaide Radio SAFM,Retail Adelaide Radio SAFM,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Subaru_Impreza_Adelaide_Radio_MIX_102.3_Metropolitan_Radio,,Adelaide Radio MIX 102.3,Adelaide Radio MIX 102.3,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Subaru_Impreza_Adelaide_Television_SAS7_Metropolitan_Television,,Adelaide Television SAS7,Adelaide Television SAS7,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza-Retail_Adelaide_Television_GO_ADE_Metropolitan_Television,,Retail Adelaide Television GO ADE,Retail Adelaide Television GO ADE,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Liberty-Retail_Adelaide_Press_Advertiser_Metropolitan_Press,,LibertyRetail Adelaide Press Advertiser,LibertyRetail Adelaide Press Advertiser,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Press,0.5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
Subaru_Impreza-Retail_Adelaide_Radio_FIVEAA_Metropolitan_Radio,,Retail Adelaide Radio FIVEAA,Retail Adelaide Radio FIVEAA,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WOI_Impreza_Brisbane,,Impreza WOI Sydney,Impreza WOI Sydney,Client Data:Subaru Sales:Impreza:Brisbane,0.5,10,8,8,10,8,8,10,8,10,8,8,10,8,8,10,8,8,10,8
Subaru_Impreza_R-Retail_Brisbane_Television_QTQ9_Metropolitan_Television,,RRetail Brisbane Television QTQ9,RRetail Brisbane Television QTQ9,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza-Retail_Brisbane_Television_GO_BRIS_Metropolitan_Television,,Retail Brisbane Television GO BRIS,Retail Brisbane Television GO BRIS,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Brisbane_Radio_NOVA_106.9_Metropolitan_Radio,,Brisbane Radio NOVA 106.9,Brisbane Radio NOVA 106.9,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Subaru_Impreza-Retail_Brisbane_Television_QTQ9_Metropolitan_Television,,Retail Brisbane Television QTQ9,Retail Brisbane Television QTQ9,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Subaru_Impreza_2.0i-Retail_Brisbane_Radio_B105FM_Metropolitan_Radio,,2.0iRetail Brisbane Radio B105FM,2.0iRetail Brisbane Radio B105FM,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Subaru_Impreza-Retail_Brisbane_Press_Courier_Mail_Metropolitan_Press,,Retail Brisbane Press Courier Mail,Retail Brisbane Press Courier Mail,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Press,0.5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_R-Retail_Brisbane_Television_GEM_BRIS_Metropolitan_Television,,RRetail Brisbane Television GEM BRIS,RRetail Brisbane Television GEM BRIS,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Brisbane_Television_7Mate_BRIS_Metropolitan_Television,,Brisbane Television 7Mate BRIS,Brisbane Television 7Mate BRIS,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Brisbane_Television_BTQ7_Metropolitan_Television,,Brisbane Television BTQ7,Brisbane Television BTQ7,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_2.0i-Retail_Brisbane_Radio_NOVA_106.9_Metropolitan_Radio,,2.0iRetail Brisbane Radio NOVA 106.9,2.0iRetail Brisbane Radio NOVA 106.9,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Radio,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_R-Retail_Brisbane_Television_GO_BRIS_Metropolitan_Television,,RRetail Brisbane Television GO BRIS,RRetail Brisbane Television GO BRIS,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_R-Retail_Brisbane_Television_7Mate_BRIS_Metropolitan_Television,,RRetail Brisbane Television 7Mate BRIS,RRetail Brisbane Television 7Mate BRIS,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_R-Retail_Brisbane_Television_TVQ10_Metropolitan_Television,,RRetail Brisbane Television TVQ10,RRetail Brisbane Television TVQ10,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_2.0i-Retail_Brisbane_Television_7Mate_BRIS_Metropolitan_Television,,2.0iRetail Brisbane Television 7Mate BRIS,2.0iRetail Brisbane Television 7Mate BRIS,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Subaru_Impreza_R-Retail_Brisbane_Television_BTQ7_Metropolitan_Television,,RRetail Brisbane Television BTQ7,RRetail Brisbane Television BTQ7,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza-Retail_Brisbane_Television_TVQ10_Metropolitan_Television,,Retail Brisbane Television TVQ10,Retail Brisbane Television TVQ10,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Subaru_Impreza-Retail_Brisbane_Television_Eleven_BRIS_Metropolitan_Television,,Retail Brisbane Television Eleven BRIS,Retail Brisbane Television Eleven BRIS,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza-Retail_Brisbane_Television_7TWO_BRIS_Metropolitan_Television,,Retail Brisbane Television 7TWO BRIS,Retail Brisbane Television 7TWO BRIS,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_R-Retail_Brisbane_Press_Courier_Mail_Metropolitan_Press,,RRetail Brisbane Press Courier Mail,RRetail Brisbane Press Courier Mail,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Press,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_R-Retail_Brisbane_Television_7TWO_BRIS_Metropolitan_Television,,RRetail Brisbane Television 7TWO BRIS,RRetail Brisbane Television 7TWO BRIS,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Brisbane_Television_Eleven_BRIS_Metropolitan_Television,,Brisbane Television Eleven BRIS,Brisbane Television Eleven BRIS,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza-Retail_Brisbane_Television_SBSBRI_Metropolitan_Television,,Retail Brisbane Television SBSBRI,Retail Brisbane Television SBSBRI,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_2.0i-Retail_Brisbane_Television_SBSBRI_Metropolitan_Television,,2.0iRetail Brisbane Television SBSBRI,2.0iRetail Brisbane Television SBSBRI,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Brisbane:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
