uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
All_Wheel_Drive_Centre_2232_C1_Northern_Overall_NPS,,All Wheel Drive Centre_2232,All Wheel Drive Centre_2232,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,62.5,62.5,25,59.2,87.5,75,87.5,37.5,87.5,62.5,75,100,37.5,62.5,75,75,50,87.5,25
Wippells_Autos_2216_A_Northern_Overall_NPS,,Wippells Autos_2216,Wippells Autos_2216,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.7,80
Sutton_Motors_3332_C2_Northern_Overall_NPS,,Sutton Motors_3332,Sutton Motors_3332,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,50,16.7,0,25,0,0,0,0,0,0,33.4,50,50,0,0,0,0,0,0
Subaru_Darwin_2291_B2_Northern_Overall_NPS,,Subaru Darwin_2291,Subaru Darwin_2291,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,78.6,23.9,57.2,42.9,57.3,100,50,71.4,40,42.9,78.6,78.6,37.9,75,35.7,75,60.7,25,25,25
Quayside_Subaru_2248_B2_Northern_Overall_NPS,,Quayside Subaru_2248,Quayside Subaru_2248,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,53.6,50,76.2,28.6,64.6,64.3,78.6,38.1,69.1,85.7,85.7,64.3,78.6,64.3,78.6,100,61.4,75.7,71.4,28.6
Bill_Peach_Motors_2213_C2_Northern_Overall_NPS,,Bill Peach Motors_2213,Bill Peach Motors_2213,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,0,100,50,100,33.4,50,100,50,50,0,100,100,0,100,50,50,0,50,33.4
Rod_Grieves_Autos_2288_C1_Northern_Overall_NPS,,Rod Grieves Autos_2288,Rod Grieves Autos_2288,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,50,87.5,50,50,37.5,37.5,37.5,37.5
Trinity_Subaru_2261_B1_Northern_Overall_NPS,,Trinity Subaru_2261,Trinity Subaru_2261,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,36.7,72.5,65,63.4,62.1,45,90,35,68.8,50,85,70,25,41.7,45,80,75,60,60,60
Bill_Hull_Car_Centre_2228_C2_Northern_Overall_NPS,,Bill Hull Car Centre_2228,Bill Hull Car Centre_2228,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,50,16.7,100,90,83.4,50,50,-16.7,50,83.4,33.4,66.7,83.4,83.4,33.4,100,83.4,66.7,50
Cassels_Subaru_2277_C2_Northern_Overall_NPS,,Cassels Subaru_2277,Cassels Subaru_2277,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,83.4,100,83.4
North_Jacklin_Subaru_2285_B2_Northern_Overall_NPS,,North Jacklin Subaru_2285,North Jacklin Subaru_2285,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,63.1,85.7,71.4,65.7,76.5,85.7,50,21.4,50,71.4,42.9,71.5,92.9,51.8,71.4,78.6,100,71.4,71.4,71.4
Port_City_Subaru_2288_C1_Northern_Overall_NPS,,Port City Subaru_2288,Port City Subaru_2288,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,62.5
Sexton_&_Green_2220_C2_Northern_Overall_NPS,,Sexton & Green_2220,Sexton & Green_2220,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,0,75,83.4,68,83.4,50,50,33.4,100,100,100,100,100,50,83.4,33.4,100,83.4,100
North_Jacklin_Subaru_2285_B1_Northern_Overall_NPS,,North Jacklin Subaru_2285,North Jacklin Subaru_2285,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.1,63.4
Key_Motors_2229_A_Northern_Overall_NPS,,Key Motors_2229,Key Motors_2229,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,75,82.5,79.3,74.5,74.4,69.4,70,40,74.2,67.5,78.9,86.7,80,89.9,91.5,83.2,83.2,83.2,83.2
Bundaberg_Subaru_2224_B2_Northern_Overall_NPS,,Bundaberg Subaru_2224,Bundaberg Subaru_2224,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,67.9,75.7,61.5,45.7,68.4,57.1,100,28.6,28.6,64.3,85.7,46.4,73.2,42.9,71.4,64.3,78.6,75.7,72.9,85.7
