uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
MAKE_GOOD_QUALITY_VEHICLES_SUBARU_Vehicle_Image,,MAKE_GOOD_QUALITY_VEHICLES_,MAKE_GOOD_QUALITY_VEHICLES_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.376,0.35,0.363,0.378,0.362,0.368,0.331,0.346,0.273,0.259,0.218,0.277,0.289,0.294,0.262,0.287,0.279,0.277,0.274,0.265
MAKE_VEHICLES_THAT_YOU_WOULD_BE_PROUD_TO_OWN_SUBARU_Vehicle_Image,,MAKE_VEHICLES_THAT_YOU_WOULD_BE_PROUD_TO_OWN_,MAKE_VEHICLES_THAT_YOU_WOULD_BE_PROUD_TO_OWN_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.332,0.295,0.266,0.271,0.248,0.313,0.316,0.319,0.251,0.202,0.16,0.191,0.212,0.249,0.239,0.234,0.176,0.187,0.191,0.224
HAVE_A_DEALER_CONVENIENT_TO_ME_SUBARU_Manufacturer_Image,,HAVE_A_DEALER_CONVENIENT_TO_ME_,HAVE_A_DEALER_CONVENIENT_TO_ME_,Client Data:Roy Morgan:Manufacturer_Image,0.5,0.245,0.233,0.217,0.258,0.248,0.258,0.217,0.201,0.214,0.23,0.229,0.209,0.185,0.224,0.203,0.227,0.17,0.169,0.159,0.158
MAKE_VEHICLES_FOR_SUCCESSFUL_PEOPLE_SUBARU_Manufacturer_Image,,MAKE_VEHICLES_FOR_SUCCESSFUL_PEOPLE_,MAKE_VEHICLES_FOR_SUCCESSFUL_PEOPLE_,Client Data:Roy Morgan:Manufacturer_Image,0.5,0.153,0.176,0.179,0.206,0.161,0.156,0.114,0.132,0.125,0.148,0.123,0.155,0.155,0.165,0.143,0.16,0.137,0.117,0.076,0.1
PROVIDES_DRIVER_CONFIDENCE_SUBARU_Manufacturer_Image,,PROVIDES_DRIVER_CONFIDENCE_,PROVIDES_DRIVER_CONFIDENCE_,Client Data:Roy Morgan:Manufacturer_Image,0.5,0.2,0.189,0.194,0.239,0.227,0.21,0.163,0.185,0.173,0.157,0.127,0.126,0.14,0.145,0.136,0.148,0.142,0.165,0.138,0.154
IS_AN_INTELLIGENT_CHOICE_SUBARU_Manufacturer_Image,,IS_AN_INTELLIGENT_CHOICE_,IS_AN_INTELLIGENT_CHOICE_,Client Data:Roy Morgan:Manufacturer_Image,0.5,0.167,0.165,0.149,0.164,0.155,0.141,0.141,0.16,0.143,0.137,0.094,0.109,0.125,0.135,0.133,0.135,0.125,0.14,0.113,0.124
IS_A_BRAND_FOR_PEOPLE_LIKE_ME_SUBARU_Manufacturer_Image,,IS_A_BRAND_FOR_PEOPLE_LIKE_ME_,IS_A_BRAND_FOR_PEOPLE_LIKE_ME_,Client Data:Roy Morgan:Manufacturer_Image,0.5,0.153,0.144,0.177,0.174,0.187,0.157,0.148,0.168,0.139,0.125,0.088,0.122,0.129,0.13,0.113,0.162,0.134,0.121,0.055,0.08
MAKE_VEHICLES_FOR_ACTIVE_LIFESTYLES_SUBARU_Manufacturer_Image,,MAKE_VEHICLES_FOR_ACTIVE_LIFESTYLES_,MAKE_VEHICLES_FOR_ACTIVE_LIFESTYLES_,Client Data:Roy Morgan:Manufacturer_Image,0.5,0.191,0.146,0.127,0.142,0.211,0.203,0.18,0.195,0.194,0.201,0.162,0.191,0.18,0.199,0.185,0.202,0.18,0.196,0.185,0.179
HAS_GOOD_AFTER-SALES_SERVICE_SUBARU_Manufacturer_Image,,HAS_GOOD_AFTER-SALES_SERVICE_,HAS_GOOD_AFTER-SALES_SERVICE_,Client Data:Roy Morgan:Manufacturer_Image,0.5,0.173,0.149,0.15,0.12,0.102,0.076,0.052,0.087,0.098,0.113,0.084,0.097,0.106,0.11,0.088,0.074,0.055,0.087,0.078,0.095
A_BRAND_I_LIKE_(FROM_JUL08)_SUBARU_Manufacturer_Image,,A_BRAND_I_LIKE_(FROM_JUL08)_,A_BRAND_I_LIKE_(FROM_JUL08)_,Client Data:Roy Morgan:Manufacturer_Image,0.5,0.258,0.274,0.311,0.3,0.278,0.27,0.248,0.257,0.221,0.23,0.2,0.255,0.239,0.25,0.242,0.271,0.223,0.179,0.154,0.191
