uniqueid,forecasting,tool tip,node name,Category,delta,Aug-10,Monthly,,,,,,,,,,,,,,,,,,,,
Subaru_Outback_SUV_2_5i_Columbia_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_5i_Columbia_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_5i_Columbia_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_5i_Premium_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_5i_Premium_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_5i_Premium_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_5i_Premium_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_5i_Premium_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_5i_Premium_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_5i_Premium_Sat_Nav_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_5i_Premium_Sat_Nav_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_5i_Premium_Sat_Nav_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_5i_Touring_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_5i_Touring_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_5i_Touring_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_5i_with_nav_pack_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_5i_with_nav_pack_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_5i_with_nav_pack_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_3_6R_AWD_3_6L_5Dr_Petrol_A5_Driveaway_Pricing_DA,,Subaru_Outback_SUV_3_6R_AWD_3_6L_5Dr_Petrol_A5_Driveaway_Pricing_DA,Subaru_Outback_SUV_3_6R_AWD_3_6L_5Dr_Petrol_A5_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_3_6R_Premium_AWD_3_6L_5Dr_Petrol_A5_Driveaway_Pricing_DA,,Subaru_Outback_SUV_3_6R_Premium_AWD_3_6L_5Dr_Petrol_A5_Driveaway_Pricing_DA,Subaru_Outback_SUV_3_6R_Premium_AWD_3_6L_5Dr_Petrol_A5_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_0D_Premium_Sat_Nav_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_RRP,,Subaru_Outback_SUV_2_0D_Premium_Sat_Nav_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_RRP,Subaru_Outback_SUV_2_0D_Premium_Sat_Nav_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_RRP,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_RRP,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_5i_Columbia_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_RRP,,Subaru_Outback_SUV_2_5i_Columbia_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_RRP,Subaru_Outback_SUV_2_5i_Columbia_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_RRP,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_RRP,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
